TIPO_CTE,INGRESO_INFERIDO,NIVEL_RIESGO,SOLICITUDES_RECHAZADAS,SCORE_CLIENTE,SCORE_COMPORTAMIENTO,EDAD,TIPO_VIVIENDA,ESCOLARIDAD
MALO,5513,Alto,2,92,0,25,Propia,Licenciatura
MALO,5678,Alto,4,92,0,25,Propia,Preparatoria
MALO,5513,Alto,4,95,0,25,Hipoteca,Posgrado
MALO,5678,Alto,2,96,0,25,Hipoteca,Licenciatura
MALO,5533,Alto,2,96,0,25,Hipoteca,Posgrado
MALO,5788,Alto,2,96,0,25,Familiares,Preparatoria
MALO,5730,Alto,1,96,0,25,Propia,Preparatoria
MALO,5533,Alto,4,96,0,25,Hipoteca,Posgrado
MALO,5962,Alto,5,96,0,25,Familiares,Preparatoria
MALO,5810,Alto,1,97,0,25,Hipoteca,Licenciatura
MALO,6078,Alto,2,98,0,25,Renta,Preparatoria
MALO,6017,Alto,3,98,0,25,Familiares,Posgrado
MALO,5810,Alto,3,98,0,25,Hipoteca,Preparatoria
MALO,6260,Alto,2,98,0,25,Hipoteca,Posgrado
MALO,5743,Alto,5,98,0,25,Familiares,Posgrado
MALO,6101,Alto,4,99,0,25,Hipoteca,Posgrado
MALO,5769,Alto,5,99,0,25,Familiares,Posgrado
MALO,6381,Alto,3,99,0,25,Hipoteca,Licenciatura
MALO,6318,Alto,2,99,0,25,Hipoteca,Preparatoria
MALO,6101,Alto,3,99,0,25,Renta,Posgrado
MALO,6573,Alto,4,99,0,25,Renta,Posgrado
MALO,6203,Alto,5,99,0,25,Hipoteca,Preparatoria
MALO,6406,Alto,3,99,0,25,Familiares,Posgrado
MALO,6173,Alto,4,100,0,25,Familiares,Posgrado
MALO,6700,Alto,4,100,0,25,Renta,Licenciatura
MALO,6697,Alto,3,100,0,25,Familiares,Posgrado
MALO,6406,Alto,4,101,0,25,Renta,Posgrado
MALO,6901,Alto,0,101,0,25,Hipoteca,Posgrado
MALO,6513,Alto,0,101,0,25,Renta,Secundaria
MALO,6726,Alto,0,101,0,25,Propia,Licenciatura
MALO,6481,Alto,0,101,0,25,Renta,Preparatoria
MALO,7036,Alto,2,101,0,25,Propia,Posgrado
MALO,7232,Alto,0,101,0,25,Propia,Preparatoria
MALO,6726,Alto,2,124,0,25,Propia,Posgrado
MALO,7385,Alto,0,134,0,25,Familiares,Posgrado
MALO,6839,Alto,1,142,0,25,Renta,Posgrado
MALO,7129,Alto,4,143,0,25,Familiares,Licenciatura
MALO,6870,Alto,2,156,0,25,Propia,Posgrado
REGULAR,7500,Medio ,2,189,680,25,Propia,Posgrado
BUENO,7900,Bajo,0,190,740,25,Renta,Preparatoria
BUENO,9995,Mínimo,0,204,761,25,Propia,Posgrado
REGULAR,9428,Alto,0,206,612,25,Hipoteca,Licenciatura
BUENO,10500,Bajo,0,206,737,25,Renta,Licenciatura
BUENO,10500,Mínimo,0,206,767,25,Hipoteca,Posgrado
BUENO,11000,Bajo,0,213,708,25,Renta,Licenciatura
BUENO,10600,Bajo,0,213,733,25,Renta,Preparatoria
REGULAR,10890,Bajo,0,213,740,25,Familiares,Preparatoria
BUENO,10695,Bajo,0,218,702,25,Hipoteca,Preparatoria
BUENO,9899,Bajo,0,218,746,25,Propia,Posgrado
BUENO,11130,Bajo,0,221,745,25,Familiares,Posgrado
BUENO,11130,Bajo,0,226,723,25,Hipoteca,Posgrado
BUENO,11770,Bajo,0,226,750,25,Familiares,Posgrado
BUENO,11130,Bajo,0,227,749,25,Familiares,Preparatoria
REGULAR,11543,Medio ,0,229,697,25,Familiares,Secundaria
BUENO,11336,Bajo,0,229,740,25,Renta,Licenciatura
REGULAR,10592,Medio ,0,232,690,25,Renta,Licenciatura
BUENO,11687,Mínimo,0,232,759,25,Renta,Licenciatura
REGULAR,11798,Mínimo,0,232,770,25,Familiares,Licenciatura
REGULAR,12476,Mínimo,0,238,805,25,Renta,Preparatoria
