STATUS_SOLICITUD,APROBACION_TC,TIPO_CTE,LINEA_CREDITO_FINAL,INGRESO_INFERIDO,COMPROBANTE_INGRESOS,CLIENTE_CDE,SUMA_LINEAS_REVOLVENTES,NIVEL_RIESGO,CAPACIDAD_PAGO_TOTAL,SOLICITUDES_RECHAZADAS,SCORE_CLIENTE,SCORE_COMPORTAMIENTO,PEOR_MOP_TARJETAS,SUMA_SALDOS_TARJETAS,SUMA_PAGO_MIN_TARJETAS,SUMA_SALDOS_TOTAL,EDAD,TIPO_VIVIENDA,ESCOLARIDAD
Rechazada,Rechazado,MALO,0,5513,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,2,92,0,0,0,0,0,25,Propia,Licenciatura
Rechazada,Rechazado,MALO,0,5678,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,4,92,0,0,0,0,0,25,Propia,Preparatoria
Rechazada,Rechazado,MALO,0,5513,PROPIEDAD ACTIVO FIJO,NO_CLIENTE,0,Alto,0.0,4,95,0,0,0,0,0,25,Hipoteca,Posgrado
Rechazada,Rechazado,MALO,0,5678,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,2,96,0,0,2512,0,0,25,Hipoteca,Licenciatura
Rechazada,Rechazado,MALO,0,5533,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,2,96,0,8,19038,19038,14267,25,Hipoteca,Posgrado
Rechazada,Rechazado,MALO,0,5788,INVERSIONES,NO_CLIENTE,0,Alto,0.0,2,96,0,0,0,0,0,25,Familiares,Preparatoria
Rechazada,Rechazado,MALO,0,5730,PROPIEDAD ACTIVO FIJO,NO_CLIENTE,0,Alto,0.0,1,96,0,0,0,0,0,25,Propia,Preparatoria
Rechazada,Rechazado,MALO,0,5533,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,4,96,0,0,0,0,0,25,Hipoteca,Posgrado
Rechazada,Rechazado,MALO,0,5962,PROPIEDAD ACTIVO FIJO,NO_CLIENTE,10000,Alto,0.0,5,96,0,0,0,0,0,25,Familiares,Preparatoria
Rechazada,Rechazado,MALO,0,5810,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,1,97,0,0,0,0,7324,25,Hipoteca,Licenciatura
Rechazada,Rechazado,MALO,0,6078,PROPIEDAD ACTIVO FIJO,NO_CLIENTE,0,Alto,0.0,2,98,0,0,0,0,55608,25,Renta,Preparatoria
Rechazada,Rechazado,MALO,0,6017,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,3,98,0,1,578,250,65721,25,Familiares,Posgrado
Rechazada,Rechazado,MALO,0,5810,PROPIEDAD ACTIVO FIJO,NO_CLIENTE,0,Alto,0.0,3,98,0,0,0,0,0,25,Hipoteca,Preparatoria
Rechazada,Rechazado,MALO,0,6260,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,2,98,0,0,0,0,0,25,Hipoteca,Posgrado
Rechazada,Rechazado,MALO,0,5743,PROPIEDAD ACTIVO FIJO,NO_CLIENTE,21500,Alto,0.0,5,98,0,1,21101,1210,0,25,Familiares,Posgrado
Rechazada,Rechazado,MALO,0,6101,PROPIEDAD ACTIVO FIJO,NO_CLIENTE,0,Alto,0.0,4,99,0,0,0,0,0,25,Hipoteca,Posgrado
Rechazada,Rechazado,MALO,0,5769,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,5,99,0,8,34249,34249,0,25,Familiares,Posgrado
Rechazada,Rechazado,MALO,0,6381,PROPIEDAD ACTIVO FIJO,NO_CLIENTE,0,Alto,0.0,3,99,0,0,0,0,112715,25,Hipoteca,Licenciatura
Rechazada,Rechazado,MALO,0,6318,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,2,99,0,0,0,0,0,25,Hipoteca,Preparatoria
Rechazada,Rechazado,MALO,0,6101,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,3,99,0,0,0,0,0,25,Renta,Posgrado
Rechazada,Rechazado,MALO,0,6573,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,4,99,0,0,0,0,0,25,Renta,Posgrado
Rechazada,Rechazado,MALO,0,6203,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,5,99,0,0,0,0,17273,25,Hipoteca,Preparatoria
Rechazada,Rechazado,MALO,0,6406,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,3,99,0,0,0,0,0,25,Familiares,Posgrado
Rechazada,Rechazado,MALO,0,6173,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,4,100,0,0,0,0,0,25,Familiares,Posgrado
Rechazada,Rechazado,MALO,0,6700,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,4,100,0,0,0,0,0,25,Renta,Licenciatura
Rechazada,Rechazado,MALO,0,6697,PROPIEDAD ACTIVO FIJO,NO_CLIENTE,26500,Alto,0.0,3,100,0,1,21574,1110,84697,25,Familiares,Posgrado
Rechazada,Rechazado,MALO,0,6406,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,4,101,0,0,0,0,0,25,Renta,Posgrado
Rechazada,Rechazado,MALO,0,6901,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,0,101,0,0,0,0,0,25,Hipoteca,Posgrado
Rechazada,Rechazado,MALO,0,6513,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,0,101,0,0,0,0,0,25,Renta,Secundaria
Rechazada,Rechazado,MALO,0,6726,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,0,101,0,0,0,0,0,25,Propia,Licenciatura
Rechazada,Rechazado,MALO,0,6481,PROPIEDAD ACTIVO FIJO,NO_CLIENTE,0,Alto,0.0,0,101,0,0,0,0,23070,25,Renta,Preparatoria
Rechazada,Rechazado,MALO,0,7036,RECIBOS DE NOMINA,NO_CLIENTE,15,Alto,0.0,2,101,0,0,0,0,0,25,Propia,Posgrado
Rechazada,Rechazado,MALO,0,7232,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,0,101,0,0,0,0,0,25,Propia,Preparatoria
Pendiente,Pre-Aprobado,MALO,1,6726,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,2,124,0,0,0,0,0,25,Propia,Posgrado
Pendiente,Pre-Aprobado,MALO,1,7385,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,0,134,0,0,0,0,0,25,Familiares,Posgrado
Pendiente,Pre-Aprobado,MALO,1,6839,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,1,142,0,0,0,0,0,25,Renta,Posgrado
Pendiente,Pre-Aprobado,MALO,1,7129,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,4,143,0,0,0,0,0,25,Familiares,Licenciatura
Pendiente,Pre-Aprobado,MALO,1,6870,RECIBOS DE NOMINA,NO_CLIENTE,0,Alto,0.0,2,156,0,0,0,0,0,25,Propia,Posgrado
Aprobada,Aprobado,REGULAR,4999,7500,RECIBOS DE NOMINA,CLIENTE_BANCO,0,Medio ,1.12,2,189,680,0,0,0,0,25,Propia,Posgrado
Aprobada,Aprobado,BUENO,49999,7900,RECIBOS DE NOMINA,CLIENTE_BANCO,20000,Bajo,1.1,0,190,740,1,6073,390,0,25,Renta,Preparatoria
Aprobada,Aprobado,BUENO,12800,9995,RECIBOS DE NOMINA,NO_CLIENTE,0,Mínimo,0.59,0,204,761,0,0,0,0,25,Propia,Posgrado
Aprobada,Aprobado,REGULAR,53000,9428,RECIBOS DE NOMINA,CLIENTE_BANCO,32800,Alto,0.62,0,206,612,3,0,0,0,25,Hipoteca,Licenciatura
Aprobada,Aprobado,BUENO,9899,10500,PROPIEDAD ACTIVO FIJO,CLIENTE_BANCO,5400,Bajo,0.54,0,206,737,0,1583,0,0,25,Renta,Licenciatura
Aprobada,Aprobado,BUENO,9899,10500,PROPIEDAD ACTIVO FIJO,CLIENTE_BANCO,10004,Mínimo,0.53,0,206,767,1,8512,250,0,25,Hipoteca,Posgrado
Aprobada,Aprobado,BUENO,4999,11000,RECIBOS DE NOMINA,CLIENTE_BANCO,0,Bajo,1.12,0,213,708,0,0,0,0,25,Renta,Licenciatura
Aprobada,Aprobado,BUENO,48999,10600,PROPIEDAD ACTIVO FIJO,CLIENTE_BANCO,20500,Bajo,0.52,0,213,733,0,2905,0,0,25,Renta,Preparatoria
Aprobada,Aprobado,REGULAR,31000,10890,RECIBOS DE NOMINA,CLIENTE_BANCO,20000,Bajo,0.17,0,213,740,1,9619,250,59227,25,Familiares,Preparatoria
Aprobada,Aprobado,BUENO,66000,10695,PROPIEDAD ACTIVO FIJO,CLIENTE_BANCO,0,Bajo,0.54,0,218,702,0,18896,0,0,25,Hipoteca,Preparatoria
Aprobada,Aprobado,BUENO,38999,9899,RECIBOS DE NOMINA,NO_CLIENTE,0,Bajo,0.54,0,218,746,0,0,0,0,25,Propia,Posgrado
Aprobada,Aprobado,BUENO,11800,11130,RECIBOS DE NOMINA,NO_CLIENTE,0,Bajo,0.75,0,221,745,0,0,0,0,25,Familiares,Posgrado
Aprobada,Aprobado,BUENO,56000,11130,RECIBOS DE NOMINA,CLIENTE_BANCO,75300,Bajo,1.02,0,226,723,1,15297,852,55226,25,Hipoteca,Posgrado
Aprobada,Aprobado,BUENO,49999,11770,PROPIEDAD ACTIVO FIJO,CLIENTE_BANCO,63000,Bajo,1.18,0,226,750,1,29346,1720,30000,25,Familiares,Posgrado
Aprobada,Aprobado,BUENO,10000,11130,RECIBOS DE NOMINA,CLIENTE_BANCO,0,Bajo,0.71,0,227,749,0,0,0,0,25,Familiares,Preparatoria
Aprobada,Aprobado,REGULAR,56000,11543,RECIBOS DE NOMINA,CLIENTE_BANCO,122999,Medio ,0.27,0,229,697,1,97726,4680,39890,25,Familiares,Secundaria
Aprobada,Aprobado,BUENO,9899,11336,PROPIEDAD ACTIVO FIJO,CLIENTE_BANCO,117000,Bajo,0.99,0,229,740,1,9053,1470,0,25,Renta,Licenciatura
